1526347476.9959,-1.7126,-1.0313,-2.6327
1526347527.6621,-2.5392,-1.421,-2.6743
1526347530.0863,-3.44,-1.6669,-2.8416
1526347532.5696,-4.3769,-1.8406,-3.0314
1526347535.0943,-5.2883,-1.7854,-3.1915
1526347537.5782,-6.1931,-1.5016,-3.4909
1526347540.0803,-6.9501,-0.8937,-3.7584
1526347542.6230,-7.8944,-0.6639,-3.409
1526347545.1676,-8.8506,-0.5467,-3.2279
1526347547.6921,-9.7911,-0.6797,-2.9835
1526347550.2144,-10.6828,-1.0297,-2.71
1526347552.7357,-11.4496,-1.5896,-2.5039
1526347555.2583,-12.1186,-2.274,-2.3372
1526347557.8047,-12.6981,-3.0873,-2.202
1526347560.3092,-13.131,-3.9286,-2.0244
1526347562.8330,-13.5253,-4.7799,-2.0227
1526347565.3368,-14.135,-5.5136,-2.2389
1526347567.8204,-14.6382,-6.3163,-2.1353
1526347570.3431,-15.0635,-7.1512,-1.9487
1526347572.8857,-15.1782,-8.0896,-1.6503
1526347575.4275,-14.9459,-9.0878,-1.3451
1526347577.9486,-14.5943,-9.9729,-1.1216
1526347580.4693,-14.1954,-10.8222,-1.1599
1526347582.9705,-13.8106,-11.7146,-1.1571
1526347585.4931,-13.3377,-12.5685,-1.0347
1526347587.9928,-12.8476,-13.3914,-1.0193
1526347590.5130,-12.3415,-14.2245,-1.0064
1526347592.9932,-11.8368,-15.0073,-1.0058
1526347595.5154,-11.3243,-15.8507,-0.9929
1526347598.0168,-10.8188,-16.6309,-0.9847
1526347600.5387,-10.2655,-17.4696,-0.9766
1526347603.0584,-9.7641,-18.3111,-1.0219
1526347605.5604,-9.2512,-19.1184,-1.029
1526347608.0999,-8.7918,-19.923,-1.0462
1526347610.6016,-8.3074,-20.7937,-1.0504
1526347613.1037,-7.8431,-21.6067,-1.0484
1526347615.5848,-7.3745,-22.4181,-1.0374
1526347618.1449,-6.8686,-23.2662,-1.0326
1526347620.6268,-6.3884,-24.0869,-1.0235
1526347623.1513,-5.9079,-24.8933,-1.0181
1526347625.6968,-5.4402,-25.743,-1.0703
1526347628.2192,-4.9999,-26.6135,-1.0887
1526347630.7413,-4.5721,-27.4489,-1.0801
1526347633.2640,-4.1264,-28.2908,-1.074
1526347635.8075,-3.6314,-29.1256,-1.0341
1526347638.3091,-3.0647,-29.9796,-0.9352
1526347640.8331,-2.5139,-30.7152,-0.9743
1526347643.3377,-1.9621,-31.561,-0.9665
1526347645.8818,-1.475,-32.3809,-1.0582
1526347648.4055,-1.005,-33.2407,-1.0591
1526347650.8872,-0.5308,-34.0988,-1.0548
1526347653.4302,-0.0631,-34.9369,-1.0463
1526347655.9346,0.4236,-35.7779,-1.0388
1526347658.4135,0.8688,-36.5581,-1.0291
1526347660.9169,1.3669,-37.3733,-1.0242
1526347663.4384,1.917,-38.2551,-1.0178
1526347665.9601,2.4207,-39.089,-1.0098
1526347668.4616,2.892,-39.8479,-1.0128
1526347670.9840,3.2355,-40.7234,-1.1751
1526347673.5261,3.5946,-41.6055,-1.1696
1526347676.0272,3.9547,-42.4652,-1.1611
1526347678.5490,4.3415,-43.3314,-1.1483
1526347681.0905,4.8134,-44.2748,-1.1006
1526347683.5931,5.321,-45.1112,-1.0329
1526347686.1142,5.8104,-45.9325,-1.0201
1526347688.6374,6.3055,-46.7178,-0.989
1526347691.1783,6.8997,-47.5009,-0.9111
1526347693.7010,7.4748,-48.2157,-0.9001
1526347696.2056,8.1054,-49.0114,-0.8825
1526347698.7283,8.7101,-49.7443,-0.8739
1526347701.2520,9.3972,-50.4133,-0.7398
1526347703.7760,10.217,-50.8783,-0.4967
1526347706.2972,11.1294,-51.1029,-0.2237
1526347708.8010,12.0857,-51.2165,-0.1261
1526347711.3438,13.0707,-51.3387,-0.1114
1526347713.8275,14.0116,-51.428,-0.1052
1526347716.3517,14.9713,-51.5282,-0.0947
1526347718.8554,15.9276,-51.6304,-0.1065
1526347721.3569,16.7799,-52.017,-0.4471
1526347723.8588,17.5779,-52.5135,-0.5703
1526347726.3803,18.3997,-52.982,-0.4923
1526347728.8855,19.2653,-53.3957,-0.4405
1526347731.4299,20.1996,-53.6207,-0.2162
1526347733.9527,21.1745,-53.6359,0.0076
1526347736.4776,22.1121,-53.437,0.2327
1526347739.0189,22.986,-53.0636,0.4012
1526347741.5027,23.926,-52.6222,0.4591
1526347744.0472,24.7955,-52.1908,0.4688
1526347746.5504,25.6238,-51.773,0.4748
1526347749.0746,26.5355,-51.2715,0.5198
1526347751.5576,27.3938,-50.795,0.5347
1526347754.0808,28.241,-50.292,0.541
1526347756.5846,29.06,-49.8008,0.5485
1526347759.0878,29.9215,-49.2808,0.5575
1526347761.6330,30.7748,-48.7668,0.5674
1526347764.1163,31.5982,-48.2438,0.572
1526347766.6175,32.4105,-47.723,0.5805
1526347769.1210,33.1926,-47.2114,0.5871
1526347771.6633,33.9947,-46.6811,0.5961
1526347774.1856,34.7794,-46.1613,0.5864
1526347776.7302,35.6162,-45.6505,0.5525
1526347779.2551,36.4719,-45.1533,0.5369
1526347781.7790,37.3053,-44.6681,0.5461
1526347784.3001,38.0756,-44.2082,0.557
1526347786.8036,38.9074,-43.688,0.5605
1526347789.3454,39.7307,-43.1734,0.5701
